Order_Id,Custumer_Id ,Sales_Date,Sales_Month,Product,Product_Category,Quantity_Sold ,Unit_Price ,Discount(%),Total_Revenue,Sales_Region ,Revenue_per _sales
33,1772,2024-08-16,Aug-24,Headphones,Accessories,4,"$2,905.68",0%,"$23,192.90",Abuja,"$5,798.23"
34,1085,2024-05-04,May-24,Shoes,Clothing,4,"$2,992.42",0%,"$23,906.10",Abuja,"$5,976.53"
35,1485,2025-05-12,May-25,Phone,Electronics,5,"$3,079.16",0%,"$24,619.30",Abuja,"$4,923.86"
36,1396,2025-04-22,Apr-25,Watch,Accessories,2,"$3,165.90",0%,"$25,332.50",Kano,"$12,666.25"
37,1048,2023-11-17,Nov-23,Shoes,Clothing,5,"$3,252.64",0%,"$26,045.70",Abuja,"$5,209.14"
38,1820,2025-08-10,Aug-25,Laptop,Electronics,4,"$3,339.38",0%,"$26,758.90",Lagos,"$6,689.73"
39,1039,2023-10-10,Oct-23,Laptop,Electronics,1,"$3,426.12",10%,"$27,472.10",Kano,"$27,472.10"
40,1296,2024-01-11,Jan-24,Watch,Accessories,5,"$3,512.86",0%,"$28,185.30",Abuja,"$5,637.06"
41,1232,2024-05-23,May-24,Phone,Electronics,2,"$3,599.60",0%,"$28,898.50",Abuja,"$14,449.25"
42,1037,2024-03-16,Mar-24,Bag,Accessories,1,"$3,686.34",5%,"$29,611.70",Lagos,"$29,611.70"
43,1504,2024-01-30,Jan-24,Shoes,Clothing,1,"$3,773.08",5%,"$30,324.90",Kano,"$30,324.90"
44,1859,2025-04-20,Apr-25,Shoes,Clothing,5,"$3,859.82",0%,"$31,038.10",Kano,"$6,207.62"
45,1581,2024-04-06,Apr-24,Bag,Accessories,2,"$3,946.56",10%,"$31,751.30",Abuja,"$15,875.65"
46,1594,2023-11-18,Nov-23,Watch,Accessories,2,"$4,033.30",10%,"$32,464.50",Kano,"$16,232.25"
47,1943,2024-09-25,Sep-24,Bag,Accessories,1,"$4,120.04",0%,"$33,177.70",Lagos,"$33,177.70"
48,1704,2025-09-10,Sep-25,Phone,Electronics,2,"$4,206.78",0%,"$33,890.90",Abuja,"$16,945.45"
49,1711,2024-07-10,Jul-24,Bag,Accessories,2,"$4,293.52",10%,"$34,604.10",Lagos,"$17,302.05"
50,1885,2023-11-03,Nov-23,Shirt,Clothing,1,"$4,380.26",5%,"$35,317.30",Port Harcourt,"$35,317.30"
51,1519,2024-04-07,Apr-24,Shoes,Clothing,5,"$4,467.00",10%,"$36,030.50",Lagos,"$7,206.10"
52,1194,2024-12-23,Dec-24,Phone,Electronics,2,"$4,553.74",10%,"$36,743.70",Lagos,"$18,371.85"
53,1488,2025-07-27,Jul-25,Tv,Electronics,1,"$4,640.48",0%,"$37,456.90",Port Harcourt,"$37,456.90"
54,2000,2025-04-30,Apr-25,Shirt,Clothing,3,"$4,727.22",10%,"$38,170.10",Abuja,"$12,723.37"
55,1278,2024-07-16,Jul-24,Tv,Electronics,5,"$4,813.96",0%,"$38,883.30",Abuja,"$7,776.66"
56,1229,2023-12-20,Dec-23,Laptop,Electronics,3,"$4,900.70",5%,"$39,596.50",Kano,"$13,198.83"
57,1914,2023-11-19,Nov-23,Laptop,Electronics,3,"$4,987.44",0%,"$40,309.70",Port Harcourt,"$13,436.57"
58,1096,2023-11-20,Nov-23,Phone,Electronics,1,"$5,074.18",0%,"$41,022.90",Lagos,"$41,022.90"
59,1281,2023-09-20,Sep-23,Laptop,Electronics,2,"$5,160.92",5%,"$41,736.10",Kano,"$20,868.05"
60,1860,2024-09-14,Sep-24,Shirt,Clothing,3,"$5,247.66",0%,"$42,449.30",Abuja,"$14,149.77"
61,1988,2024-04-02,Apr-24,Phone,Electronics,2,"$5,334.40",0%,"$43,162.50",Kano,"$21,581.25"
62,1589,2024-02-10,Feb-24,Shirt,Clothing,2,"$5,421.14",0%,"$43,875.70",Port Harcourt,"$21,937.85"
63,1835,2024-08-16,Aug-24,Watch,Accessories,2,"$5,507.88",5%,"$44,588.90",Kano,"$22,294.45"
64,1743,2024-05-11,May-24,Bag,Accessories,1,"$5,594.62",10%,"$45,302.10",Port Harcourt,"$45,302.10"
65,1658,2024-12-28,Dec-24,Headphones,Accessories,1,"$5,681.36",10%,"$46,015.30",Abuja,"$46,015.30"
66,1940,2023-09-29,Sep-23,Watch,Accessories,1,"$5,768.10",10%,"$46,728.50",Abuja,"$46,728.50"
67,1018,2024-03-05,Mar-24,Bag,Accessories,5,"$5,854.84",0%,"$47,441.70",Kano,"$9,488.34"
68,1358,2025-05-27,May-25,Phone,Electronics,1,"$5,941.58",0%,"$48,154.90",Lagos,"$48,154.90"
69,1338,2024-07-05,Jul-24,Phone,Electronics,4,"$6,028.32",10%,"$48,868.10",Lagos,"$12,217.03"
70,1202,2023-12-24,Dec-23,Bag,Accessories,3,"$6,115.06",0%,"$49,581.30",Port Harcourt,"$16,527.10"
71,1086,2025-02-16,Feb-25,Headphones,Accessories,5,"$6,201.80",0%,"$50,294.50",Abuja,"$10,058.90"
72,1700,2024-08-08,Aug-24,Headphones,Accessories,5,"$6,288.54",0%,"$51,007.70",Lagos,"$10,201.54"
73,1640,2024-11-20,Nov-24,Shirt,Clothing,3,"$6,375.28",10%,"$51,720.90",Kano,"$17,240.30"
74,1985,2025-05-20,May-25,Tv,Electronics,2,"$6,462.02",5%,"$52,434.10",Abuja,"$26,217.05"
75,1949,2025-06-19,Jun-25,Shoes,Clothing,5,"$6,548.76",10%,"$53,147.30",Lagos,"$10,629.46"
76,1883,2025-05-15,May-25,Phone,Electronics,2,"$6,635.50",5%,"$53,860.50",Lagos,"$26,930.25"
77,1103,2025-07-09,Jul-25,Shirt,Clothing,4,"$6,722.24",0%,"$54,573.70",Kano,"$13,643.43"
78,1298,2025-04-28,Apr-25,Headphones,Accessories,4,"$6,808.98",5%,"$55,286.90",Abuja,"$13,821.73"
79,1027,2024-04-16,Apr-24,Shirt,Clothing,4,"$6,895.72",0%,"$56,000.10",Lagos,"$14,000.03"
80,1558,2024-12-02,Dec-24,Phone,Electronics,4,"$6,982.46",0%,"$56,713.30",Abuja,"$14,178.33"
81,1635,2024-12-18,Dec-24,Bag,Accessories,5,"$7,069.20",0%,"$57,426.50",Lagos,"$11,485.30"
82,1255,2025-03-27,Mar-25,Tv,Electronics,4,"$7,155.94",5%,"$58,139.70",Abuja,"$14,534.93"
83,1311,2024-01-04,Jan-24,Watch,Accessories,2,"$7,242.68",0%,"$58,852.90",Abuja,"$29,426.45"
84,1564,2024-07-03,Jul-24,Watch,Accessories,3,"$7,329.42",0%,"$59,566.10",Abuja,"$19,855.37"
85,1467,2023-12-19,Dec-23,Laptop,Electronics,4,"$7,416.16",5%,"$60,279.30",Lagos,"$15,069.83"
86,1521,2024-06-19,Jun-24,Headphones,Accessories,3,"$7,502.90",0%,"$60,992.50",Lagos,"$20,330.83"
87,1997,2024-11-12,Nov-24,Phone,Electronics,4,"$7,589.64",0%,"$61,705.70",Lagos,"$15,426.43"
88,1295,2025-03-30,Mar-25,Headphones,Accessories,1,"$7,676.38",10%,"$62,418.90",Kano,"$62,418.90"
89,1093,2025-08-08,Aug-25,Headphones,Accessories,4,"$7,763.12",0%,"$63,132.10",Kano,"$15,783.03"
90,1957,2024-04-19,Apr-24,Shirt,Clothing,3,"$7,849.86",0%,"$63,845.30",Abuja,"$21,281.77"
91,1182,2024-07-01,Jul-24,Laptop,Electronics,2,"$7,936.60",0%,"$64,558.50",Kano,"$32,279.25"
92,1965,2024-04-11,Apr-24,Shirt,Clothing,4,"$8,023.34",0%,"$65,271.70",Abuja,"$16,317.93"
93,1775,2024-07-02,Jul-24,Shirt,Clothing,4,"$8,110.08",0%,"$65,984.90",Port Harcourt,"$16,496.23"
94,1784,2024-06-12,Jun-24,Bag,Accessories,3,"$8,196.82",0%,"$66,698.10",Port Harcourt,"$22,232.70"
95,1753,2024-10-09,Oct-24,Shoes,Clothing,1,"$8,283.56",0%,"$67,411.30",Port Harcourt,"$67,411.30"
96,1525,2025-02-20,Feb-25,Phone,Electronics,1,"$8,370.30",5%,"$68,124.50",Abuja,"$68,124.50"
97,1904,2024-01-30,Jan-24,Shirt,Clothing,2,"$8,457.04",0%,"$68,837.70",Lagos,"$34,418.85"
98,1763,2023-10-31,Oct-23,Phone,Electronics,3,"$8,543.78",5%,"$69,550.90",Lagos,"$23,183.63"
99,1458,2024-08-08,Aug-24,Shoes,Clothing,3,"$8,630.52",0%,"$70,264.10",Port Harcourt,"$23,421.37"
100,1331,2024-05-21,May-24,Headphones,Accessories,2,"$8,717.26",5%,"$70,977.30",Lagos,"$35,488.65"
101,1203,2025-01-12,Jan-25,Watch,Accessories,5,"$8,804.00",10%,"$71,690.50",Lagos,"$14,338.10"
102,1963,2025-05-05,May-25,Headphones,Accessories,1,"$8,890.74",10%,"$72,403.70",Lagos,"$72,403.70"
103,1938,2024-02-24,Feb-24,Headphones,Accessories,1,"$8,977.48",10%,"$73,116.90",Abuja,"$73,116.90"
104,1454,2025-09-13,Sep-25,Tv,Electronics,4,"$9,064.22",10%,"$73,830.10",Lagos,"$18,457.53"
105,1921,2024-08-18,Aug-24,Tv,Electronics,4,"$9,150.96",10%,"$74,543.30",Port Harcourt,"$18,635.83"
106,1202,2023-11-09,Nov-23,Phone,Electronics,3,"$9,237.70",5%,"$75,256.50",Kano,"$25,085.50"
107,1919,2023-11-16,Nov-23,Headphones,Accessories,1,"$9,324.44",10%,"$75,969.70",Abuja,"$75,969.70"
108,1861,2024-11-22,Nov-24,Tv,Electronics,3,"$9,411.18",10%,"$76,682.90",Port Harcourt,"$25,560.97"
109,1095,2025-04-11,Apr-25,Watch,Accessories,5,"$9,497.92",0%,"$77,396.10",Abuja,"$15,479.22"
110,1000,2024-08-08,Aug-24,Headphones,Accessories,5,"$9,584.66",0%,"$78,109.30",Abuja,"$15,621.86"
111,1922,2024-08-13,Aug-24,Tv,Electronics,1,"$9,671.40",5%,"$78,822.50",Kano,"$78,822.50"
112,1005,2024-06-24,Jun-24,Phone,Electronics,5,"$9,758.14",10%,"$79,535.70",Kano,"$15,907.14"
113,1958,2025-09-04,Sep-25,Bag,Accessories,4,"$9,844.88",10%,"$80,248.90",Abuja,"$20,062.23"
114,1973,2024-07-02,Jul-24,Shoes,Clothing,3,"$9,931.62",5%,"$80,962.10",Abuja,"$26,987.37"
115,1505,2024-05-29,May-24,Phone,Electronics,3,"$10,018.36",10%,"$81,675.30",Lagos,"$27,225.10"
116,1425,2024-03-15,Mar-24,Phone,Electronics,2,"$10,105.10",10%,"$82,388.50",Lagos,"$41,194.25"
117,1378,2024-11-03,Nov-24,Laptop,Electronics,1,"$10,191.84",10%,"$83,101.70",Abuja,"$83,101.70"
118,1053,2024-03-24,Mar-24,Laptop,Electronics,1,"$10,278.58",10%,"$83,814.90",Kano,"$83,814.90"
119,1926,2023-12-23,Dec-23,Tv,Electronics,3,"$10,365.32",0%,"$84,528.10",Port Harcourt,"$28,176.03"
120,1770,2024-03-12,Mar-24,Tv,Electronics,1,"$10,452.06",0%,"$85,241.30",Lagos,"$85,241.30"
121,1760,2025-05-10,May-25,Shirt,Clothing,2,"$10,538.80",10%,"$85,954.50",Lagos,"$42,977.25"
122,1480,2024-11-30,Nov-24,Phone,Electronics,5,"$10,625.54",5%,"$86,667.70",Lagos,"$17,333.54"
123,1854,2024-04-29,Apr-24,Headphones,Accessories,4,"$10,712.28",0%,"$87,380.90",Port Harcourt,"$21,845.23"
124,1991,2023-10-19,Oct-23,Shirt,Clothing,2,"$10,799.02",10%,"$88,094.10",Abuja,"$44,047.05"
125,1571,2024-03-18,Mar-24,Shoes,Clothing,2,"$10,885.76",0%,"$88,807.30",Abuja,"$44,403.65"
126,1028,2024-07-15,Jul-24,Shirt,Clothing,4,"$10,972.50",0%,"$89,520.50",Port Harcourt,"$22,380.13"
127,1633,2024-11-21,Nov-24,Shirt,Clothing,3,"$11,059.24",0%,"$90,233.70",Lagos,"$30,077.90"
128,1056,2023-10-24,Oct-23,Phone,Electronics,5,"$11,145.98",5%,"$90,946.90",Kano,"$18,189.38"
129,1047,2024-07-03,Jul-24,Shoes,Clothing,2,"$11,232.72",5%,"$91,660.10",Lagos,"$45,830.05"
130,1766,2025-05-14,May-25,Shirt,Clothing,3,"$11,319.46",10%,"$92,373.30",Kano,"$30,791.10"
131,1452,2025-03-07,Mar-25,Shoes,Clothing,3,"$11,406.20",10%,"$93,086.50",Lagos,"$31,028.83"
132,1018,2025-07-12,Jul-25,Tv,Electronics,1,"$11,492.94",0%,"$93,799.70",Abuja,"$93,799.70"
133,1789,2025-04-13,Apr-25,Bag,Accessories,1,"$11,579.68",0%,"$94,512.90",Abuja,"$94,512.90"
134,1404,2025-09-15,Sep-25,Watch,Accessories,2,"$11,666.42",0%,"$95,226.10",Port Harcourt,"$47,613.05"
135,1494,2024-01-24,Jan-24,Laptop,Electronics,4,"$11,753.16",0%,"$95,939.30",Port Harcourt,"$23,984.83"
136,1963,2025-06-14,Jun-25,Headphones,Accessories,3,"$11,839.90",5%,"$96,652.50",Port Harcourt,"$32,217.50"
137,1965,2024-05-10,May-24,Headphones,Accessories,3,"$11,926.64",0%,"$97,365.70",Lagos,"$32,455.23"
138,1085,2024-09-14,Sep-24,Shirt,Clothing,1,"$12,013.38",10%,"$98,078.90",Lagos,"$98,078.90"
139,1875,2024-08-06,Aug-24,Headphones,Accessories,5,"$12,100.12",0%,"$98,792.10",Abuja,"$19,758.42"
140,1910,2023-10-14,Oct-23,Bag,Accessories,4,"$12,186.86",5%,"$99,505.30",Port Harcourt,"$24,876.33"
141,1513,2024-07-25,Jul-24,Laptop,Electronics,4,"$12,273.60",0%,"$100,218.50",Lagos,"$25,054.63"
142,1875,2025-08-15,Aug-25,Shirt,Clothing,2,"$12,360.34",0%,"$100,931.70",Lagos,"$50,465.85"
143,1516,2025-04-10,Apr-25,Headphones,Accessories,2,"$12,447.08",0%,"$101,644.90",Kano,"$50,822.45"
144,1352,2025-01-18,Jan-25,Shoes,Clothing,4,"$12,533.82",10%,"$102,358.10",Lagos,"$25,589.53"
145,1423,2023-11-17,Nov-23,Watch,Accessories,4,"$12,620.56",5%,"$103,071.30",Kano,"$25,767.83"
146,1003,2024-03-12,Mar-24,Laptop,Electronics,2,"$12,707.30",5%,"$103,784.50",Lagos,"$51,892.25"
147,1050,2023-11-09,Nov-23,Watch,Accessories,3,"$12,794.04",10%,"$104,497.70",Lagos,"$34,832.57"
148,1717,2024-10-26,Oct-24,Watch,Accessories,5,"$12,880.78",0%,"$105,210.90",Abuja,"$21,042.18"
149,1059,2025-08-01,Aug-25,Tv,Electronics,3,"$12,967.52",0%,"$105,924.10",Kano,"$35,308.03"
150,1888,2023-12-16,Dec-23,Bag,Accessories,2,"$13,054.26",5%,"$106,637.30",Kano,"$53,318.65"
151,1077,2025-06-30,Jun-25,Shirt,Clothing,4,"$13,141.00",0%,"$107,350.50",Kano,"$26,837.63"
152,1916,2024-06-09,Jun-24,Laptop,Electronics,1,"$13,227.74",10%,"$108,063.70",Lagos,"$108,063.70"
153,1250,2024-09-16,Sep-24,Tv,Electronics,5,"$13,314.48",0%,"$108,776.90",Abuja,"$21,755.38"
154,1758,2024-04-02,Apr-24,Laptop,Electronics,2,"$13,401.22",10%,"$109,490.10",Port Harcourt,"$54,745.05"
155,1950,2025-05-12,May-25,Headphones,Accessories,3,"$13,487.96",0%,"$110,203.30",Port Harcourt,"$36,734.43"
156,1195,2025-02-09,Feb-25,Tv,Electronics,5,"$13,574.70",10%,"$110,916.50",Abuja,"$22,183.30"
157,1327,2024-01-03,Jan-24,Shoes,Clothing,1,"$13,661.44",0%,"$111,629.70",Kano,"$111,629.70"
158,1819,2023-10-28,Oct-23,Laptop,Electronics,1,"$13,748.18",0%,"$112,342.90",Port Harcourt,"$112,342.90"
159,1987,2025-02-08,Feb-25,Bag,Accessories,4,"$13,834.92",0%,"$113,056.10",Lagos,"$28,264.03"
160,1212,2025-06-25,Jun-25,Laptop,Electronics,2,"$13,921.66",0%,"$113,769.30",Lagos,"$56,884.65"
161,1931,2024-06-08,Jun-24,Phone,Electronics,5,"$14,008.40",0%,"$114,482.50",Abuja,"$22,896.50"
162,1922,2024-02-19,Feb-24,Watch,Accessories,3,"$14,095.14",0%,"$115,195.70",Port Harcourt,"$38,398.57"
163,1688,2024-02-15,Feb-24,Laptop,Electronics,4,"$14,181.88",10%,"$115,908.90",Abuja,"$28,977.23"
164,1686,2025-06-01,Jun-25,Headphones,Accessories,4,"$14,268.62",5%,"$116,622.10",Kano,"$29,155.53"
165,1528,2024-08-16,Aug-24,Tv,Electronics,2,"$14,355.36",10%,"$117,335.30",Lagos,"$58,667.65"
166,1045,2023-09-29,Sep-23,Watch,Accessories,1,"$14,442.10",0%,"$118,048.50",Port Harcourt,"$118,048.50"
167,1967,2025-07-08,Jul-25,Shirt,Clothing,5,"$14,528.84",10%,"$118,761.70",Abuja,"$23,752.34"
168,1594,2025-07-06,Jul-25,Bag,Accessories,2,"$14,615.58",5%,"$119,474.90",Abuja,"$59,737.45"
169,1763,2023-10-14,Oct-23,Shoes,Clothing,3,"$14,702.32",0%,"$120,188.10",Lagos,"$40,062.70"
170,1551,2024-02-18,Feb-24,Bag,Accessories,1,"$14,789.06",10%,"$120,901.30",Abuja,"$120,901.30"
171,1233,2024-09-02,Sep-24,Headphones,Accessories,2,"$14,875.80",10%,"$121,614.50",Lagos,"$60,807.25"
172,1819,2024-05-07,May-24,Watch,Accessories,3,"$14,962.54",0%,"$122,327.70",Port Harcourt,"$40,775.90"
173,1642,2024-08-17,Aug-24,Bag,Accessories,4,"$15,049.28",5%,"$123,040.90",Abuja,"$30,760.23"
174,1433,2024-08-14,Aug-24,Headphones,Accessories,1,"$15,136.02",0%,"$123,754.10",Port Harcourt,"$123,754.10"
175,1002,2023-12-06,Dec-23,Shoes,Clothing,3,"$15,222.76",10%,"$124,467.30",Lagos,"$41,489.10"
176,1381,2023-11-27,Nov-23,Headphones,Accessories,1,"$15,309.50",0%,"$125,180.50",Lagos,"$125,180.50"
177,1095,2024-06-29,Jun-24,Bag,Accessories,1,"$15,396.24",0%,"$125,893.70",Abuja,"$125,893.70"
178,1178,2024-02-23,Feb-24,Watch,Accessories,1,"$15,482.98",0%,"$126,606.90",Port Harcourt,"$126,606.90"
179,1007,2024-06-07,Jun-24,Tv,Electronics,1,"$15,569.72",5%,"$127,320.10",Kano,"$127,320.10"
180,1099,2025-07-05,Jul-25,Tv,Electronics,5,"$15,656.46",5%,"$128,033.30",Kano,"$25,606.66"
181,1082,2024-05-26,May-24,Shoes,Clothing,5,"$15,743.20",10%,"$128,746.50",Lagos,"$25,749.30"
182,1227,2024-07-30,Jul-24,Bag,Accessories,4,"$15,829.94",5%,"$129,459.70",Port Harcourt,"$32,364.93"
183,1321,2024-10-12,Oct-24,Shoes,Clothing,5,"$15,916.68",10%,"$130,172.90",Lagos,"$26,034.58"
184,1567,2024-03-03,Mar-24,Headphones,Accessories,2,"$16,003.42",0%,"$130,886.10",Lagos,"$65,443.05"
185,1261,2024-04-10,Apr-24,Phone,Electronics,1,"$16,090.16",5%,"$131,599.30",Abuja,"$131,599.30"
186,1885,2024-11-19,Nov-24,Phone,Electronics,5,"$16,176.90",5%,"$132,312.50",Abuja,"$26,462.50"
187,1890,2024-01-15,Jan-24,Bag,Accessories,5,"$16,263.64",5%,"$133,025.70",Abuja,"$26,605.14"
188,1882,2024-05-01,May-24,Watch,Accessories,1,"$16,350.38",0%,"$133,738.90",Abuja,"$133,738.90"
189,1866,2024-03-24,Mar-24,Shirt,Clothing,2,"$16,437.12",0%,"$134,452.10",Abuja,"$67,226.05"
190,1267,2023-10-03,Oct-23,Watch,Accessories,2,"$16,523.86",0%,"$135,165.30",Abuja,"$67,582.65"
191,1908,2023-12-10,Dec-23,Shoes,Clothing,4,"$16,610.60",0%,"$135,878.50",Kano,"$33,969.63"
192,1737,2024-07-28,Jul-24,Phone,Electronics,5,"$16,697.34",0%,"$136,591.70",Lagos,"$27,318.34"
193,1345,2024-11-26,Nov-24,Tv,Electronics,4,"$16,784.08",0%,"$137,304.90",Abuja,"$34,326.23"
194,1892,2024-08-25,Aug-24,Tv,Electronics,1,"$16,870.82",5%,"$138,018.10",Lagos,"$138,018.10"
195,1828,2023-12-23,Dec-23,Laptop,Electronics,5,"$16,957.56",10%,"$138,731.30",Kano,"$27,746.26"
196,1505,2024-05-30,May-24,Watch,Accessories,5,"$17,044.30",0%,"$139,444.50",Abuja,"$27,888.90"
197,1121,2025-08-13,Aug-25,Shoes,Clothing,4,"$17,131.04",5%,"$140,157.70",Kano,"$35,039.43"
198,1862,2025-09-11,Sep-25,Bag,Accessories,4,"$17,217.78",0%,"$140,870.90",Port Harcourt,"$35,217.73"
199,1661,2024-05-28,May-24,Headphones,Accessories,3,"$17,304.52",5%,"$141,584.10",Abuja,"$47,194.70"
200,1809,2025-01-13,Jan-25,Tv,Electronics,1,"$17,391.26",0%,"$142,297.30",Kano,"$142,297.30"
201,1764,2025-07-06,Jul-25,Shoes,Clothing,2,"$17,478.00",10%,"$143,010.50",Abuja,"$71,505.25"
202,1319,2025-01-13,Jan-25,Shoes,Clothing,3,"$17,564.74",0%,"$143,723.70",Abuja,"$47,907.90"
203,1938,2024-02-01,Feb-24,Shirt,Clothing,5,"$17,651.48",0%,"$144,436.90",Lagos,"$28,887.38"
204,1342,2025-07-15,Jul-25,Phone,Electronics,4,"$17,738.22",0%,"$145,150.10",Port Harcourt,"$36,287.53"
205,1078,2025-01-26,Jan-25,Bag,Accessories,3,"$17,824.96",0%,"$145,863.30",Lagos,"$48,621.10"
206,1685,2024-01-15,Jan-24,Shirt,Clothing,1,"$17,911.70",10%,"$146,576.50",Port Harcourt,"$146,576.50"
207,1732,2024-06-06,Jun-24,Bag,Accessories,2,"$17,998.44",0%,"$147,289.70",Lagos,"$73,644.85"
208,1203,2025-02-13,Feb-25,Laptop,Electronics,1,"$18,085.18",5%,"$148,002.90",Kano,"$148,002.90"
209,1959,2024-07-03,Jul-24,Headphones,Accessories,3,"$18,171.92",10%,"$148,716.10",Abuja,"$49,572.03"
210,1504,2024-07-30,Jul-24,Bag,Accessories,1,"$18,258.66",0%,"$149,429.30",Abuja,"$149,429.30"
211,1209,2024-06-01,Jun-24,Shoes,Clothing,4,"$18,345.40",0%,"$150,142.50",Lagos,"$37,535.63"
212,1519,2025-03-21,Mar-25,Tv,Electronics,3,"$18,432.14",0%,"$150,855.70",Port Harcourt,"$50,285.23"
213,1372,2025-05-09,May-25,Headphones,Accessories,3,"$18,518.88",0%,"$151,568.90",Lagos,"$50,522.97"
214,1292,2024-05-24,May-24,Watch,Accessories,2,"$18,605.62",0%,"$152,282.10",Lagos,"$76,141.05"
215,1880,2025-04-07,Apr-25,Phone,Electronics,2,"$18,692.36",10%,"$152,995.30",Port Harcourt,"$76,497.65"
216,1068,2025-09-01,Sep-25,Bag,Accessories,1,"$18,779.10",0%,"$153,708.50",Abuja,"$153,708.50"
217,1800,2023-12-24,Dec-23,Laptop,Electronics,5,"$18,865.84",10%,"$154,421.70",Lagos,"$30,884.34"
218,1260,2024-07-18,Jul-24,Headphones,Accessories,4,"$18,952.58",0%,"$155,134.90",Port Harcourt,"$38,783.73"
219,1421,2024-12-14,Dec-24,Headphones,Accessories,4,"$19,039.32",0%,"$155,848.10",Lagos,"$38,962.03"
220,1257,2025-01-20,Jan-25,Bag,Accessories,5,"$19,126.06",10%,"$156,561.30",Lagos,"$31,312.26"
221,1476,2023-12-15,Dec-23,Headphones,Accessories,2,"$19,212.80",0%,"$157,274.50",Lagos,"$78,637.25"
